country,title,desc,pubdate,url,lat,lng
,New anti-malaria compound discovered,Scientists at Dundee University develop an exciting new single-dose malaria drug to combat drug-resistant parasites.,Wed 17 Jun 2015 17:00:28 GMT,http://www.bbc.co.uk/news/uk-scotland-tayside-central-33164528,None,None
,Blood chemical predicts brain decline,Scientists discover a chemical in blood that indicates whether people will have declining brain function in the years to come.,Tue 16 Jun 2015 15:39:36 GMT,http://www.bbc.co.uk/news/health-33135104,None,None
,Woods struggles to 80 at US Open,Tiger Woods finishes 15 shots behind leaders Henrik Stenson and Dustin Johnson after round one of the US Open at Chambers Bay.,Fri 19 Jun 2015 03:00:11 GMT,http://www.bbc.co.uk/sport/0/golf/33193555,None,None
,England U21 0-1 Portugal U21,England fail to score for the first time in 18 matches as they lose 1-0 to Portugal in their European Under-21 Championship opener.,Thu 18 Jun 2015 20:37:04 GMT,http://www.bbc.co.uk/sport/0/football/33063307,None,None
,How did the Turin Shroud get its image?,Some say it's Jesus Christ's burial wrapping others say it's a medieval fake. Either way how does the Turin Shroud come to bear a man's image?,Thu 18 Jun 2015 23:30:14 GMT,http://www.bbc.co.uk/news/magazine-33164668,None,None
,The great Moldovan bank robbery,It's a mystery that's thrown Europe's poorest nation into deep crisis - $1bn has vanished from three of Moldova's leading banks much of it passing through UK companies.,Wed 17 Jun 2015 23:08:02 GMT,http://www.bbc.co.uk/news/magazine-33166383,None,None
,Prince has 'secret' show for Obamas,White House officials will not say whether pop star Prince performed at a weekend party at the executive residence despite guests posting about it on social media.,Mon 15 Jun 2015 22:46:10 GMT,http://www.bbc.co.uk/news/world-us-canada-33144298,None,None
,Mayor's cleaning protest over litter,Turkish mayor wants people to see how much mess they make.,Thu 18 Jun 2015 14:33:58 GMT,http://www.bbc.co.uk/news/blogs-news-from-elsewhere-33187563,None,None
,Liberia's Bility to make Fifa bid,The head of the Liberia Football Association says he wants to replace Sepp Blatter as the president of Fifa.,Thu 18 Jun 2015 17:29:51 GMT,http://www.bbc.co.uk/sport/0/football/33181713,None,None
,VIDEO: Monks fight 'threat' to Myanmar pagoda,Monks in Myanmar are fighting plans for development of land close to the Schwedagon Pagoda one of the country's most famous Buddhist landmarks.,Thu 18 Jun 2015 23:12:51 GMT,http://www.bbc.co.uk/news/world-asia-33192133,None,None
,EU acts against German road charge,Germany postpones a controversial road toll scheme as the European Commission takes legal action against it.,Thu 18 Jun 2015 16:43:45 GMT,http://www.bbc.co.uk/news/world-europe-33191332,None,None
,Mexican police remove gang cameras,Police in the Mexican border city of Reynosa dismantle dozens of surveillance cameras set up by a gang to monitor the security forces.,Thu 18 Jun 2015 10:26:40 GMT,http://www.bbc.co.uk/news/world-latin-america-33181800,None,None
,World's displaced 'hits record high',The number of people displaced by war conflict or persecution reached a record high of nearly 60 million around the world in 2014 a UN report says.,Thu 18 Jun 2015 11:59:27 GMT,http://www.bbc.co.uk/news/world-33178035,None,None
,US lawmakers approve trade plan,The House of Representatives has approved a controversial trade bill backed by President Obama just a week after Democrats voted it down.,Thu 18 Jun 2015 18:01:10 GMT,http://www.bbc.co.uk/news/business-33192275,None,None
,'New deal' if GPs open seven days,The government is promising a new deal for GPs - if they sign up to seven-day opening.,Thu 18 Jun 2015 23:06:38 GMT,http://www.bbc.co.uk/news/health-33191120,None,None
,Many over-65s 'shun public transport',The public transport system is failing the oldest and most vulnerable in society in England with many never using it a report says.,Fri 19 Jun 2015 05:23:08 GMT,http://www.bbc.co.uk/news/uk-33195093,None,None
,Dreamland set to open to revellers,A funfair that formed the centrepiece of seaside days out for generations of day-trippers to Kent is reopening after an £18m restoration.,Fri 19 Jun 2015 02:51:14 GMT,http://www.bbc.co.uk/news/uk-england-kent-33184682,None,None
,Fake online reviews prompt probe,Businesses are ambushing rivals with fake reviews and customers are reportedly using the threat of online criticism to win discounts research finds.,Thu 18 Jun 2015 23:00:06 GMT,http://www.bbc.co.uk/news/business-33184207,None,None
,In pictures: Unseen Waterloo,Sam Faulkner's portraits commemorate the Battle’s bicentenary,Thu 18 Jun 2015 03:40:34 GMT,http://www.bbc.co.uk/news/in-pictures-33167108,None,None
,In pictures: Unusual sites awarded listed status,A selection of unusual sites added to the National Heritage List for England in the past year.,Wed 17 Jun 2015 00:54:51 GMT,http://www.bbc.co.uk/news/in-pictures-33135431,None,None
,Indian youth leap into skateboarding,The popularity of skateboarding in India,Mon 15 Jun 2015 23:56:41 GMT,http://www.bbc.co.uk/news/world-asia-india-32841305,None,None
,Syrian refugees share 'safe space',Young Syrian refugees in Lebanon express their feelings through photography,Sun 14 Jun 2015 23:16:41 GMT,http://www.bbc.co.uk/news/in-pictures-33061169,None,None
,Dakar fashion week shows Senegal style,A model's journey through Dakar fashion week,Mon 15 Jun 2015 11:29:30 GMT,http://www.bbc.co.uk/news/world-africa-33133584,None,None
,Paris Air Show: From hot air to heavy metal,Looking back at the history of the show in pictures,Mon 15 Jun 2015 01:03:52 GMT,http://www.bbc.co.uk/news/business-33080147,None,None
,In pictures: India prepares for Yoga Day,Indians limber up for International Yoga Day,Mon 15 Jun 2015 09:08:47 GMT,http://www.bbc.co.uk/news/world-asia-india-33130444,None,None
,Week in pictures: 6-12 June 2015,A selection of the best news photographs from around the world,Fri 12 Jun 2015 15:39:48 GMT,http://www.bbc.co.uk/news/in-pictures-33106928,None,None
,The letter that reveals a brutal day at Scapa Flow,New insight into mass sinking of WW1 ships,Fri 19 Jun 2015 00:39:52 GMT,http://www.bbc.co.uk/news/magazine-33152438,None,None
,Why is the yoga day stressing India?,Why is India in a twist over yoga day?,Fri 19 Jun 2015 02:49:23 GMT,http://www.bbc.co.uk/news/world-asia-india-33153506,None,None
,Indian raid in Myanmar raises regional tensions,Mystery over India's anti-rebel raid in Myanmar,Fri 19 Jun 2015 01:58:28 GMT,http://www.bbc.co.uk/news/world-asia-india-33193275,None,None
,Quiz of the week's news,What's the next Game of Thrones book to be called?,Fri 19 Jun 2015 00:40:14 GMT,http://www.bbc.co.uk/news/magazine-33181821,None,None
,The jobless Afghans 'paid by Iran' to fight for Assad,The jobless Afghans who say Iran pays them to fight in Syria,Thu 18 Jun 2015 19:45:45 GMT,http://www.bbc.co.uk/news/world-asia-33187850,None,None
,US and China try to build alliances,China-US fight over chairs and power,Thu 18 Jun 2015 21:32:27 GMT,http://www.bbc.co.uk/news/world-us-canada-33104127,None,None
